序号	日期	手机+账号	拍剪员	视频链接	产品	国家	GMV	出单数量	佣金	佣金GMV	GMV人民币	佣金人民币
48	2026/01/30	42-@skateunboundtales	赵永琪	https://www.tiktok.com/@skateunboundtales/video/7601114859945643295	彩色毛巾	美国	$5,400.00	175	$452.32	$4,200.00	¥36,720.00	¥3,075.78
49	2026/01/31	@hoo35nini35（已弃用）	赵雅如	https://www.tiktok.com/@hoo35nini35/video/7600311183077281025	经期按摩器	墨西哥	$857.14	5	$21.27	$821.43	¥342.86	¥8.51
50	2026/01/31	@hoo35nini35（已弃用）	刘茜	https://www.tiktok.com/@hoo35nini35/video/7601054322163551489	经期按摩器	墨西哥	$685.71	4	$17.02	$657.14	¥274.29	¥6.81
51	2026/01/31	10-@melvqvs	橱窗	橱窗	勇敢项链	美国	$15.35	1	$0.00	$15.35	¥104.38	¥0.00
52	2026/01/31	16-@rollerrebel0	邵佳运	https://www.tiktok.com/@rollerrebel0/video/7600740508498922766	彩色毛巾	美国	$35.01	1	$2.50	$35.01	¥238.07	¥17.00
53	2026/01/31	@hoo35nini35（已弃用）	刘茜	https://www.tiktok.com/@hoo35nini35/video/7601430745399233793	经期按摩器	墨西哥	$342.86	2	$8.51	$328.57	¥137.14	¥3.40
54	2026/01/31	@hoo35nini35（已弃用）	刘茜	https://www.tiktok.com/@hoo35nini35/video/7600310225790438673	经期按摩器	墨西哥	$342.86	2	$8.51	$328.57	¥137.14	¥3.40
55	2026/01/31	29-@xfjb8xuel5	谢园园	https://www.tiktok.com/@xfjb8xuel5/video/7601420818387586311	经期按摩器	墨西哥	$398.00	2	$2.36	$343.10	¥159.20	¥0.94
56	2026/01/31	42-@skateunboundtales	赵永琪	https://www.tiktok.com/@skateunboundtales/video/7601114859945643295	彩色毛巾	美国	$3,600.00	113	$296.48	$2,700.00	¥24,480.00	¥2,016.06
57	2026/01/31	43-@rollervibe2	赵永琪	https://www.tiktok.com/@rollervibe2/video/7601102284382047518	彩色毛巾	美国	$231.19	7	$19.92	$184.88	¥1,572.09	¥135.42
58	2026/01/31	43-@rollervibe2	赵永琪	https://www.tiktok.com/@rollervibe2/video/7600683169049824542	彩色毛巾	美国	$32.42	1	$2.85	$26.41	¥220.46	¥19.35
59	2026/01/31	19-@skateunboundvibes	赵永琪	https://www.tiktok.com/@skateunboundvibes/video/7601476754217241886	彩色毛巾	美国	$99.05	3	$8.32	$77.04	¥673.54	¥56.58
60	2026/01/31	05-@hisrollerjourneys	赵永琪	https://www.tiktok.com/@hisrollerjourneys/video/7578064510552919327?_r=1&_t=ZP-93dPXCI6DiI	黑色头套	美国	$9.99	1	$0.70	$9.99	¥67.93	¥4.76
61	2026/01/31	08-@rawrollhisstyle	邵佳运	https://www.tiktok.com/@rawrollhisstyle/video/7601466627372240158	彩色毛巾	美国	$11.21	1	$0.85	$10.19	¥76.23	¥5.78
62	2026/01/31	08-@rawrollhisstyle	邵佳运	https://www.tiktok.com/@rawrollhisstyle/video/7598528243943148830	玫瑰熊	美国	$11.21	1	$0.85	$10.19	¥76.23	¥5.78
63	2026/01/31	14-@hisrollroam	赵永琪	https://www.tiktok.com/@hisrollroam/video/7600744371176099127	彩色毛巾	美国	$83.05	3	$7.66	$72.19	¥564.74	¥52.10
64	2026/01/31	14-@hisrollroam	赵永琪	https://www.tiktok.com/@hisrollroam/video/7601479629483953463	彩色毛巾	美国	$67.72	2	$5.11	$48.12	¥460.50	¥34.73
65	2026/01/31	@c03vfgqsr0（已弃用）	刘茜	https://www.tiktok.com/@c03vfgqsr0/video/7601413343819222292	经期按摩器	墨西哥	$169.15	1	$2.66	$164.07	¥67.66	¥1.06
66	2026/01/31	@c03vfgqsr0（已弃用）	刘茜	https://www.tiktok.com/@c03vfgqsr0/video/7601412587225353493	经期按摩器	墨西哥	$199.00	1	$2.66	$164.08	¥79.60	¥1.06
67	2026/01/31	@c03vfgqsr0（已弃用）	赵雅如	https://www.tiktok.com/@c03vfgqsr0/video/7601047936402771221	经期按摩器	墨西哥	$180.00	1	$2.66	$164.07	¥72.00	¥1.06
68	2026/01/31	@c03vfgqsr0（已弃用）	赵雅如	https://www.tiktok.com/@c03vfgqsr0/video/7600314820755262740	经期按摩器	墨西哥	$199.00	1	$2.66	$164.07	¥79.60	¥1.06
69	2026/01/31	@c03vfgqsr0（已弃用）	刘茜	https://www.tiktok.com/@c03vfgqsr0/video/7600313669779541268	经期按摩器	墨西哥	$179.10	1	$2.66	$164.07	¥71.64	¥1.06
70	2026/01/31	@scvkwvn29752（已弃用）	赵雅如	https://www.tiktok.com/@scvkwvn29752/video/7601427235035188496	经期按摩器	墨西哥	$199.00	1	$1.18	$171.55	¥79.60	¥0.47
71	2026/01/31	@scvkwvn29752（已弃用）	刘茜	https://www.tiktok.com/@scvkwvn29752/video/7600349256578272513	经期按摩器	墨西哥	$199.00	1	$1.18	$171.55	¥79.60	¥0.47
72	2026/01/31	@hoo35nini35（已弃用）	涂欣然	https://www.tiktok.com/@hoo35nini35/video/7601431523648195841	经期按摩器	墨西哥	$171.43	1	$4.25	$164.29	¥68.57	¥1.70
73	2026/01/31	@dch6ck6937（已弃用）	赵雅如	https://www.tiktok.com/@dch6ck6937/video/7601422417692478721	经期按摩器	墨西哥	$161.15	1	$1.18	$171.55	¥64.46	¥0.47
74	2026/02/01	@hoo35nini35（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$1,326.32	7	$26.39	$1,178.95	¥530.53	¥10.55
75	2026/02/01	@hoo35nini35（已弃用）	赵雅如	https://www.tiktok.com/@hoo35nini35/video/7601431828536446225	经期按摩器	墨西哥	$568.42	3	$11.31	$505.26	¥227.37	¥4.52
76	2026/02/01	@hoo35nini35（已弃用）	刘茜	https://www.tiktok.com/@hoo35nini35/video/7601430745399233793	经期按摩器	墨西哥	$568.42	3	$11.31	$505.26	¥227.37	¥4.52
77	2026/02/01	@hoo35nini35（已弃用）	赵雅如	https://www.tiktok.com/@hoo35nini35/video/7600311183077281025	经期按摩器	墨西哥	$568.42	3	$11.31	$505.26	¥227.37	¥4.52
78	2026/02/01	14-@hisrollroam	赵永琪	https://www.tiktok.com/@hisrollroam/video/7601479629483953463	彩色毛巾	美国	$35.84	1	$2.59	$23.85	¥243.71	¥17.61
79	2026/02/01	30-@styleviralfinds	赵永琪	https://www.tiktok.com/@styleviralfinds/video/7601479125999602975	彩色毛巾	美国	$64.84	2	$6.48	$59.09	¥440.91	¥44.06
80	2026/02/01	42-@skateunboundtales	赵永琪	https://www.tiktok.com/@skateunboundtales/video/7601114859945643295	彩色毛巾	美国	$3,500.00	107	$290.31	$2,700.00	¥23,800.00	¥1,974.11
81	2026/02/01	43-@rollervibe2	赵永琪	https://www.tiktok.com/@rollervibe2/video/7601102284382047518	彩色毛巾	美国	$33.84	1	$2.59	$24.30	¥230.11	¥17.61
82	2026/02/01	19-@skateunboundvibes	赵永琪	https://www.tiktok.com/@skateunboundvibes/video/7601476754217241886	彩色毛巾	美国	$166.36	5	$14.25	$132.18	¥1,131.25	¥96.90
83	2026/02/01	@c03vfgqsr0（已弃用）	赵雅如	https://www.tiktok.com/@c03vfgqsr0/video/7600314820755262740	经期按摩器	墨西哥	$179.55	1	$4.88	$152.86	¥71.82	¥1.95
84	2026/02/01	@c03vfgqsr0（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$179.55	1	$4.88	$152.86	¥71.82	¥1.95
85	2026/02/01	@scvkwvn29752（已弃用）	赵雅如	https://www.tiktok.com/@scvkwvn29752/video/7601049787827244305	经期按摩器	墨西哥	$189.33	1	$1.18	$171.55	¥75.73	¥0.47
86	2026/02/01	@scvkwvn29752（已弃用）	刘茜	https://www.tiktok.com/@scvkwvn29752/video/7600350019559886097	经期按摩器	墨西哥	$189.33	1	$1.18	$171.55	¥75.73	¥0.47
87	2026/02/01	@scvkwvn29752（已弃用）	赵雅如	https://www.tiktok.com/@scvkwvn29752/video/7601427507774082320	经期按摩器	墨西哥	$189.33	1	$1.18	$171.55	¥75.73	¥0.47
88	2026/02/01	@hoo35nini35（已弃用）	刘茜	https://www.tiktok.com/@hoo35nini35/video/7601054773684555009	经期按摩器	墨西哥	$189.47	1	$3.77	$168.42	¥75.79	¥1.51
89	2026/02/01	@hoo35nini35（已弃用）	刘茜	https://www.tiktok.com/@hoo35nini35/video/7601054322163551489	经期按摩器	墨西哥	$189.47	1	$3.77	$168.42	¥75.79	¥1.51
90	2026/02/01	@hoo35nini35（已弃用）	赵雅如	https://www.tiktok.com/@hoo35nini35/video/7600310705841081616	经期按摩器	墨西哥	$189.47	1	$3.77	$168.42	¥75.79	¥1.51
91	2026/02/01	29-@xfjb8xuel5	赵雅如	https://www.tiktok.com/@xfjb8xuel5/video/7601422148527197458	经期按摩器	墨西哥	$199.00	1	$1.18	$171.55	¥79.60	¥0.47
92	2026/02/01	@dch6ck6937（已弃用）	赵雅如	https://www.tiktok.com/@dch6ck6937/video/7601427302135663889	经期按摩器	墨西哥	$199.00	1	$1.18	$171.55	¥79.60	¥0.47
93	2026/02/01	@dch6ck6937（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$199.00	1	$1.18	$171.55	¥79.60	¥0.47
94	2026/02/02	22-@cdfbhhb4	历史视频	https://www.tiktok.com/@cdfbhhb4/video/7556222885635886350	钥匙扣	美国	$8.98	1	$0.00	$2.78	¥61.06	¥0.00
95	2026/02/02	@hoo35nini35（已弃用）	赵雅如	https://www.tiktok.com/@hoo35nini35/video/7600311183077281025	经期按摩器	墨西哥	$487.63	3	$11.40	$490.08	¥195.05	¥4.56
96	2026/02/02	@scvkwvn29752（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$340.00	2	$2.36	$343.10	¥136.00	¥0.94
97	2026/02/02	@hoo35nini35（已弃用）	谢园园	https://www.tiktok.com/@hoo35nini35/video/7602180942127516944	经期按摩器	墨西哥	$325.08	2	$7.60	$326.72	¥130.03	¥3.04
98	2026/02/02	29-@xfjb8xuel5	谢园园	https://www.tiktok.com/@xfjb8xuel5/video/7602182994610130194	经期按摩器	墨西哥	$398.00	2	$2.36	$343.10	¥159.20	¥0.94
99	2026/02/02	42-@skateunboundtales	赵永琪	https://www.tiktok.com/@skateunboundtales/video/7601114859945643295	彩色毛巾	美国	$1,400.00	47	$126.10	$1,200.00	¥9,520.00	¥857.48
100	2026/02/02	05-@hisrollerjourneys	赵永琪	https://www.tiktok.com/@hisrollerjourneys/video/7578064510552919327?_r=1&_t=ZP-93dPXCI6DiI	黑色头套	美国	$9.99	1	$0.70	$9.27	¥67.93	¥4.76
101	2026/02/02	14-@hisrollroam	赵永琪	https://www.tiktok.com/@hisrollroam/video/7601479629483953463	彩色毛巾	美国	$72.06	2	$5.61	$51.89	¥490.01	¥38.17
102	2026/02/02	14-@hisrollroam	邵佳运	https://www.tiktok.com/@hisrollroam/video/7602228448882445623	彩色毛巾	美国	$36.03	1	$2.81	$25.95	¥245.00	¥19.09
103	2026/02/02	19-@skateunboundvibes	赵永琪	https://www.tiktok.com/@skateunboundvibes/video/7597398260189236511	彩色毛巾	美国	$26.90	1	$1.41	$20.68	¥182.92	¥9.59
104	2026/02/02	19-@skateunboundvibes	赵永琪	https://www.tiktok.com/@skateunboundvibes/video/7601476754217241886	彩色毛巾	美国	$19.17	1	$1.20	$16.00	¥130.36	¥8.16
105	2026/02/02	27-@sherollsbright	邵佳运	https://www.tiktok.com/@sherollsbright/video/7602228017124937015	彩色毛巾	美国	$67.68	2	$5.18	$47.89	¥460.22	¥35.22
106	2026/02/02	@c03vfgqsr0（已弃用）	赵雅如	https://www.tiktok.com/@c03vfgqsr0/video/7600314820755262740	经期按摩器	墨西哥	$219.00	1	$1.18	$171.55	¥87.60	¥0.47
107	2026/02/02	@c03vfgqsr0（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$219.00	1	$1.18	$171.55	¥87.60	¥0.47
108	2026/02/02	@hoo35nini35（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$162.54	1	$3.80	$163.36	¥65.02	¥1.52
109	2026/02/02	29-@xfjb8xuel5	赵雅如	https://www.tiktok.com/@xfjb8xuel5/video/7602187031715892498	经期按摩器	墨西哥	$199.00	1	$1.18	$171.55	¥79.60	¥0.47
110	2026/02/03	@hoo35nini35（已弃用）	赵雅如	https://www.tiktok.com/@hoo35nini35/video/7601432378044632336	经期按摩器	墨西哥	$950.00	5	$12.15	$850.00	¥380.00	¥4.86
111	2026/02/03	@hoo35nini35（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$570.00	3	$7.29	$510.00	¥228.00	¥2.92
112	2026/02/03	42-@skateunboundtales	赵永琪	https://www.tiktok.com/@skateunboundtales/video/7601114859945643295	彩色毛巾	美国	$1,000.00	32	$85.33	$789.30	¥6,800.00	¥580.24
113	2026/02/03	36-@la.negrita.1	历史视频	https://www.tiktok.com/t/ZThfDKDLB/	钥匙扣	美国	$8.98	1	$0.00	$8.98	¥61.06	¥0.00
114	2026/02/03	43-@rollervibe2	赵永琪	https://www.tiktok.com/@rollervibe2/video/7601102284382047518	彩色毛巾	美国	$87.54	3	$7.77	$72.98	¥595.27	¥52.84
115	2026/02/03	19-@skateunboundvibes	赵永琪	https://www.tiktok.com/@skateunboundvibes/video/7602229279002266910	彩色毛巾	美国	$62.51	2	$5.50	$50.87	¥425.07	¥37.40
116	2026/02/03	19-@skateunboundvibes	赵永琪	https://www.tiktok.com/@skateunboundvibes/video/7601476754217241886	彩色毛巾	美国	$35.36	1	$2.75	$25.43	¥240.45	¥18.70
117	2026/02/03	27-@sherollsbright	邵佳运	https://www.tiktok.com/@sherollsbright/video/7602228017124937015	彩色毛巾	美国	$84.12	3	$8.26	$75.34	¥572.02	¥56.15
118	2026/02/03	27-@sherollsbright	邵佳运	https://www.tiktok.com/@sherollsbright/video/7602568498597907726	彩色毛巾	美国	$31.84	1	$2.75	$25.11	¥216.51	¥18.72
119	2026/02/03	14-@hisrollroam	邵佳运	https://www.tiktok.com/@hisrollroam/video/7602228448882445623	彩色毛巾	美国	$67.26	2	$5.51	$51.16	¥457.37	¥37.43
120	2026/02/03	14-@hisrollroam	赵永琪	https://www.tiktok.com/@hisrollroam/video/7601479629483953463	彩色毛巾	美国	$59.69	2	$5.51	$51.16	¥405.89	¥37.43
121	2026/02/03	@c03vfgqsr0（已弃用）	刘茜	https://www.tiktok.com/@c03vfgqsr0/video/7601413343819222292	经期按摩器	墨西哥	$194.00	1	$1.18	$171.55	¥77.60	¥0.47
122	2026/02/03	@c03vfgqsr0（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$194.00	1	$1.18	$171.55	¥77.60	¥0.47
123	2026/02/03	@hoo35nini35（已弃用）	谢园园	https://www.tiktok.com/@hoo35nini35/video/7602181142728510721	经期按摩器	墨西哥	$190.00	1	$2.43	$170.00	¥76.00	¥0.97
124	2026/02/03	@hoo35nini35（已弃用）	刘茜	https://www.tiktok.com/@hoo35nini35/video/7600307929379622160	经期按摩器	墨西哥	$190.00	1	$2.43	$170.00	¥76.00	¥0.97
125	2026/02/03	@dch6ck6937（已弃用）	刘茜	https://www.tiktok.com/@dch6ck6937/video/7601419954721803521	经期按摩器	墨西哥	$199.00	1	$1.18	$171.55	¥79.60	¥0.47
126	2026/02/04	22-@cdfbhhb4	历史视频	https://www.tiktok.com/@cdfbhhb4/video/7556222885635886350	钥匙扣	美国	$36.61	4	$0.00	$11.71	¥248.95	¥0.00
127	2026/02/04	@hoo35nini35（已弃用）	赵雅如	https://www.tiktok.com/@hoo35nini35/video/7601432378044632336	经期按摩器	墨西哥	$578.57	3	$4.74	$514.29	¥231.43	¥1.90
128	2026/02/04	@hoo35nini35（已弃用）	赵雅如	https://www.tiktok.com/@hoo35nini35/video/7602482655967399169	经期按摩器	墨西哥	$578.57	3	$4.74	$514.29	¥231.43	¥1.90
129	2026/02/04	@hoo35nini35（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$385.71	2	$3.16	$342.86	¥154.29	¥1.26
130	2026/02/04	29-@xfjb8xuel5	赵雅如	https://www.tiktok.com/@xfjb8xuel5/video/7602485969413049618	经期按摩器	墨西哥	398.00	2	2.36	343.1	¥159.20	¥0.94
131	2026/02/04	14-@hisrollroam	邵佳运	https://www.tiktok.com/@hisrollroam/video/7602228448882445623	彩色毛巾	美国	$70.97	2	$5.51	$51.89	¥482.56	¥37.43
132	2026/02/04	14-@hisrollroam	邵佳运	https://www.tiktok.com/@hisrollroam/video/7602567929304976654	彩色毛巾	美国	$35.48	1	$2.75	$25.94	¥241.28	¥18.72
133	2026/02/04	14-@hisrollroam	邵佳运	https://www.tiktok.com/@hisrollroam/video/7602567308665556237	彩色毛巾	美国	$35.48	1	$2.75	$25.94	¥241.28	¥18.72
134	2026/02/04	30-@styleviralfinds	赵永琪	https://www.tiktok.com/@styleviralfinds/video/7601479125999602975	彩色毛巾	美国	$108.09	3	$8.42	$80.10	¥735.01	¥57.26
135	2026/02/04	42-@skateunboundtales	赵永琪	https://www.tiktok.com/@skateunboundtales/video/7601114859945643295	彩色毛巾	美国	$246.21	8	$21.51	$196.86	¥1,674.25	¥146.28
136	2026/02/04	42-@skateunboundtales	邵佳运	https://www.tiktok.com/@skateunboundtales/video/7601114859945643295	彩色毛巾	美国	$30.78	1	$2.69	$24.61	¥209.28	¥18.28
137	2026/02/04	43-@rollervibe2	赵永琪	https://www.tiktok.com/@rollervibe2/video/7601490815260609822	彩色毛巾	美国	$37.63	1	$2.92	$28.06	¥255.85	¥19.82
138	2026/02/04	43-@rollervibe2	赵永琪	https://www.tiktok.com/@rollervibe2/video/7601102284382047518	彩色毛巾	美国	$37.63	1	$2.92	$28.06	¥255.85	¥19.82
139	2026/02/04	19-@skateunboundvibes	赵永琪	https://www.tiktok.com/@skateunboundvibes/video/7597398260189236511	彩色毛巾	美国	$26.38	1	$1.97	$24.23	¥179.35	¥13.40
140	2026/02/04	19-@skateunboundvibes	赵永琪	https://www.tiktok.com/@skateunboundvibes/video/7602229279002266910	彩色毛巾	美国	$26.38	1	$1.97	$24.23	¥179.35	¥13.40
141	2026/02/04	27-@sherollsbright	邵佳运	https://www.tiktok.com/@sherollsbright/video/7602952998674779405	彩色毛巾	美国	$33.84	1	$2.59	$23.75	¥230.11	¥17.61
